#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 03 01 19 30 300  2.1  2.6    MM    MM    MM  MM 1018.2  14.3  16.6    MM   MM   MM    MM
2024 03 01 19 24 300  1.5  3.6    MM    MM    MM  MM 1018.2  14.3  16.6    MM   MM   MM    MM
2024 03 01 19 18 300  1.5  3.1    MM    MM    MM  MM 1018.4  14.1  16.6    MM   MM   MM    MM
2024 03 01 19 12 300  2.1  3.6    MM    MM    MM  MM 1018.4  14.1  16.6    MM   MM   MM    MM
2024 03 01 19 06 290  2.6  3.6    MM    MM    MM  MM 1018.6  14.1  16.6    MM   MM   MM    MM
2024 03 01 19 00 300  2.1  4.1    MM    MM    MM  MM 1018.6  14.1  16.6    MM   MM -0.6    MM
2024 03 01 18 54 300  2.1  3.6    MM    MM    MM  MM 1018.6  14.1  16.6    MM   MM   MM    MM
2024 03 01 18 48 300  1.5  4.1    MM    MM    MM  MM 1018.5  14.1  16.6    MM   MM   MM    MM
2024 03 01 18 42 300  2.1  4.6    MM    MM    MM  MM 1018.6  14.1  16.6    MM   MM   MM    MM
2024 03 01 18 36 290  2.6  4.1    MM    MM    MM  MM 1018.9  14.1  16.6    MM   MM   MM    MM
2024 03 01 18 30 300  2.1  3.1    MM    MM    MM  MM 1018.9  14.2  16.6    MM   MM   MM    MM
2024 03 01 18 24 290  1.5  3.6    MM    MM    MM  MM 1019.0  14.3  16.6    MM   MM   MM    MM
2024 03 01 18 18 290  2.1  3.6    MM    MM    MM  MM 1019.0  14.4  16.6    MM   MM   MM    MM
2024 03 01 18 12 290  1.5  3.6    MM    MM    MM  MM 1018.9  14.6  16.6    MM   MM   MM    MM
2024 03 01 18 06 300  2.1  3.6    MM    MM    MM  MM 1018.8  14.7  16.6    MM   MM   MM    MM
2024 03 01 18 00 290  1.5  2.6    MM    MM    MM  MM 1018.8  14.8  16.5    MM   MM +0.0    MM
2024 03 01 17 54 330  1.5  3.1    MM    MM    MM  MM 1018.8  14.9  16.6    MM   MM   MM    MM
2024 03 01 17 48 310  1.0  3.6    MM    MM    MM  MM 1018.8  14.9  16.6    MM   MM   MM    MM
2024 03 01 17 42 310  1.0  3.1    MM    MM    MM  MM 1019.0  15.0  16.6    MM   MM   MM    MM
2024 03 01 17 36 290  1.5  4.1    MM    MM    MM  MM 1019.3  15.0  16.6    MM   MM   MM    MM
2024 03 01 17 30 290  1.5  3.1    MM    MM    MM  MM 1019.4  15.4  16.6    MM   MM   MM    MM
2024 03 01 17 24 260  1.0  3.1    MM    MM    MM  MM 1019.3  15.6  16.6    MM   MM   MM    MM
2024 03 01 17 18 290  1.5  2.6    MM    MM    MM  MM 1019.3  15.8  16.6    MM   MM   MM    MM
2024 03 01 17 12 290  1.0  2.6    MM    MM    MM  MM 1019.2  16.0  16.5    MM   MM   MM    MM
2024 03 01 17 06 360  0.5  1.0    MM    MM    MM  MM 1019.1  16.0  16.5    MM   MM   MM    MM
2024 03 01 17 00  MM  0.0  0.0    MM    MM    MM  MM 1018.9  15.9  16.5    MM   MM +0.4    MM
2024 03 01 16 54  MM  0.0  0.0    MM    MM    MM  MM 1018.9  16.1  16.5    MM   MM   MM    MM
2024 03 01 16 48  MM  0.0  1.0    MM    MM    MM  MM 1019.2  16.0  16.5    MM   MM   MM    MM
2024 03 01 16 42 360  1.0  1.5    MM    MM    MM  MM 1019.2  15.9  16.5    MM   MM   MM    MM
2024 03 01 16 36 360  1.0  1.5    MM    MM    MM  MM 1019.1  15.8  16.5    MM   MM   MM    MM
2024 03 01 16 30 360  1.0  1.5    MM    MM    MM  MM 1019.1  16.0  16.5    MM   MM   MM    MM
2024 03 01 16 24 360  1.5  2.6    MM    MM    MM  MM 1019.2  15.9  16.5    MM   MM   MM    MM
2024 03 01 16 18 340  1.5  2.6    MM    MM    MM  MM 1019.2  15.8  16.4    MM   MM   MM    MM
2024 03 01 16 12 340  1.5  2.6    MM    MM    MM  MM 1019.2  15.8  16.4    MM   MM   MM    MM
2024 03 01 16 06 350  2.1  2.6    MM    MM    MM  MM 1019.2  15.9  16.4    MM   MM   MM    MM
2024 03 01 16 00 350  2.1  3.6    MM    MM    MM  MM 1019.2  15.9  16.4    MM   MM +0.8    MM
2024 03 01 15 54 350  3.1  3.6    MM    MM    MM  MM 1019.1  15.8  16.4    MM   MM   MM    MM
2024 03 01 15 48 360  2.6  3.1    MM    MM    MM  MM 1019.0  16.1  16.4    MM   MM   MM    MM
2024 03 01 15 42 360  2.6  3.1    MM    MM    MM  MM 1018.8  16.1  16.4    MM   MM   MM    MM
2024 03 01 15 36  30  1.5  2.6    MM    MM    MM  MM 1019.1  16.5  16.4    MM   MM   MM    MM
2024 03 01 15 30  20  2.6  3.1    MM    MM    MM  MM 1019.0  16.4  16.4    MM   MM   MM    MM
2024 03 01 15 24  20  2.6  3.1    MM    MM    MM  MM 1019.1  16.3  16.4    MM   MM   MM    MM
2024 03 01 15 18 360  2.6  2.6    MM    MM    MM  MM 1019.2  16.3  16.4    MM   MM   MM    MM
2024 03 01 15 12  20  1.5  2.1    MM    MM    MM  MM 1019.2  16.4  16.4    MM   MM   MM    MM
2024 03 01 15 06  20  2.1  2.6    MM    MM    MM  MM 1019.2  16.3  16.4    MM   MM   MM    MM
2024 03 01 15 00  20  1.5  2.1    MM    MM    MM  MM 1019.0  16.7  16.4    MM   MM -0.0    MM
2024 03 01 14 54  20  1.0  2.6    MM    MM    MM  MM 1019.1  16.7  16.4    MM   MM   MM    MM
2024 03 01 14 48 360  1.5  1.5    MM    MM    MM  MM 1019.1  16.7  16.4    MM   MM   MM    MM
2024 03 01 14 42 360  1.0  2.6    MM    MM    MM  MM 1019.0  16.7  16.4    MM   MM   MM    MM
2024 03 01 14 36 350  2.1  3.6    MM    MM    MM  MM 1018.9  16.6  16.4    MM   MM   MM    MM
2024 03 01 14 30 350  3.1  4.6    MM    MM    MM  MM 1018.9  16.5  16.4    MM   MM   MM    MM
2024 03 01 14 24 350  3.1  3.6    MM    MM    MM  MM 1018.8  16.6  16.4    MM   MM   MM    MM
2024 03 01 14 18 180  0.5  1.5    MM    MM    MM  MM 1018.9  17.2  16.4    MM   MM   MM    MM
2024 03 01 14 12  MM  0.0  1.0    MM    MM    MM  MM 1018.7  17.1  16.3    MM   MM   MM    MM
2024 03 01 14 06 170  0.5  1.5    MM    MM    MM  MM 1018.6  16.9  16.3    MM   MM   MM    MM
2024 03 01 14 00 170  0.5  1.5    MM    MM    MM  MM 1018.5  16.7  16.2    MM   MM -0.4    MM
2024 03 01 13 54 170  1.0  1.5    MM    MM    MM  MM 1018.5  16.7  16.1    MM   MM   MM    MM
2024 03 01 13 48 150  0.5  2.1    MM    MM    MM  MM 1018.4  16.6  16.3    MM   MM   MM    MM
2024 03 01 13 42 150  1.0  1.5    MM    MM    MM  MM 1018.4  16.5  16.3    MM   MM   MM    MM
2024 03 01 13 36 180  1.0  2.6    MM    MM    MM  MM 1018.5  16.3  16.2    MM   MM   MM    MM
2024 03 01 13 30 170  1.5  3.1    MM    MM    MM  MM 1018.6  16.2  16.0    MM   MM   MM    MM
2024 03 01 13 24 150  1.5  2.6    MM    MM    MM  MM 1018.5  16.1  16.0    MM   MM   MM    MM
2024 03 01 13 18 140  1.5  3.1    MM    MM    MM  MM 1018.4  15.9  16.0    MM   MM   MM    MM
2024 03 01 13 12 150  1.0  3.1    MM    MM    MM  MM 1018.5  15.8  16.1    MM   MM   MM    MM
2024 03 01 13 06 140  1.5  4.1    MM    MM    MM  MM 1018.4  15.6  16.3    MM   MM   MM    MM
2024 03 01 13 00 140  2.1  3.6    MM    MM    MM  MM 1018.4  15.5  16.3    MM   MM +0.4    MM
2024 03 01 12 54 140  1.5  2.6    MM    MM    MM  MM 1018.4  15.4  16.3    MM   MM   MM    MM
2024 03 01 12 48 140  1.5  2.6    MM    MM    MM  MM 1018.5  15.3  16.3    MM   MM   MM    MM
2024 03 01 12 42 130  1.0  2.1    MM    MM    MM  MM 1018.5  15.2  16.3    MM   MM   MM    MM
2024 03 01 12 36 130  1.0  2.6    MM    MM    MM  MM 1018.7  15.2  16.2    MM   MM   MM    MM
2024 03 01 12 30  MM  0.0  1.5    MM    MM    MM  MM 1018.6  15.2  16.2    MM   MM   MM    MM
2024 03 01 12 24 150  0.5  1.5    MM    MM    MM  MM 1018.6  15.2  16.3    MM   MM   MM    MM
2024 03 01 12 18 140  0.5  2.1    MM    MM    MM  MM 1018.5  15.2  16.3    MM   MM   MM    MM
2024 03 01 12 12  MM  0.0  1.5    MM    MM    MM  MM 1018.4  15.1  16.3    MM   MM   MM    MM
2024 03 01 12 06 140  1.5  2.6    MM    MM    MM  MM 1018.6  15.1  16.3    MM   MM   MM    MM
2024 03 01 12 00 170  1.0  2.1    MM    MM    MM  MM 1018.9  15.1  16.2    MM   MM -0.7    MM
2024 03 01 11 54 150  0.5  2.6    MM    MM    MM  MM 1018.8  15.0  16.2    MM   MM   MM    MM
2024 03 01 11 48 130  1.0  2.6    MM    MM    MM  MM 1018.9  15.0  16.1    MM   MM   MM    MM
2024 03 01 11 42 120  0.5  2.6    MM    MM    MM  MM 1018.6  14.9  16.2    MM   MM   MM    MM
2024 03 01 11 36  MM  0.0  2.6    MM    MM    MM  MM 1018.7  14.9  16.2    MM   MM   MM    MM
2024 03 01 11 30 120  1.0  3.6    MM    MM    MM  MM 1018.6  14.8  16.3    MM   MM   MM    MM
2024 03 01 11 24 130  1.0  4.6    MM    MM    MM  MM 1018.8  14.6  16.0    MM   MM   MM    MM
2024 03 01 11 18 140  1.5  4.1    MM    MM    MM  MM 1018.8  14.5  16.0    MM   MM   MM    MM
2024 03 01 11 12 140  2.1  4.1    MM    MM    MM  MM 1019.0  14.4  16.2    MM   MM   MM    MM
2024 03 01 11 06 150  2.1  4.6    MM    MM    MM  MM 1019.0  14.3  16.2    MM   MM   MM    MM
2024 03 01 11 00 140  1.0  3.6    MM    MM    MM  MM 1018.9  14.0  16.0    MM   MM +0.0    MM
2024 03 01 10 54 130  0.5  3.1    MM    MM    MM  MM 1018.8  13.8  16.1    MM   MM   MM    MM
2024 03 01 10 48 140  2.1  4.1    MM    MM    MM  MM 1018.9  13.6  16.3    MM   MM   MM    MM
2024 03 01 10 42 130  1.5  4.6    MM    MM    MM  MM 1018.8  13.5  16.3    MM   MM   MM    MM
2024 03 01 10 36 150  1.0  3.6    MM    MM    MM  MM 1018.5  13.3  16.1    MM   MM   MM    MM
2024 03 01 10 30 110  1.0  3.6    MM    MM    MM  MM 1018.6  12.5  16.2    MM   MM   MM    MM
2024 03 01 10 24 200  3.6  4.6    MM    MM    MM  MM 1019.0  12.1  16.2    MM   MM   MM    MM
2024 03 01 10 18 160  1.5  5.1    MM    MM    MM  MM 1018.7  12.0  16.2    MM   MM   MM    MM
2024 03 01 10 12  70  1.5  5.1    MM    MM    MM  MM 1018.6  11.9  16.3    MM   MM   MM    MM
2024 03 01 10 06  90  2.6  6.7    MM    MM    MM  MM 1018.5  11.8  16.3    MM   MM   MM    MM
2024 03 01 10 00  80  6.2  9.8    MM    MM    MM  MM 1018.0  12.0  16.4    MM   MM -2.2    MM
2024 03 01 09 54  80  6.2  7.2    MM    MM    MM  MM 1017.5  11.8  16.4    MM   MM   MM    MM
2024 03 01 09 48  80  4.1  7.2    MM    MM    MM  MM 1018.6  11.6  16.4    MM   MM   MM    MM
2024 03 01 09 42  80  6.2  8.8    MM    MM    MM  MM 1018.2  11.9  16.4    MM   MM   MM    MM
2024 03 01 09 36  80  8.8  9.8    MM    MM    MM  MM 1018.0  11.8  16.4    MM   MM   MM    MM
2024 03 01 09 30  80  8.2  9.8    MM    MM    MM  MM 1018.3  11.8  16.4    MM   MM   MM    MM
2024 03 01 09 24  70  7.2  7.7    MM    MM    MM  MM 1018.5  11.9  16.3    MM   MM   MM    MM
2024 03 01 09 18  80  6.2  8.8    MM    MM    MM  MM 1018.8  11.8  16.4    MM   MM   MM    MM
2024 03 01 09 12  70  7.7  8.2    MM    MM    MM  MM 1018.4  11.5  16.5    MM   MM   MM    MM
2024 03 01 09 06  50  6.7  8.2    MM    MM    MM  MM 1019.1  11.6  16.5    MM   MM   MM    MM
2024 03 01 09 00  40  6.7  7.7    MM    MM    MM  MM 1019.6  11.6  16.5    MM   MM -1.6    MM
2024 03 01 08 54  70  6.2  8.2    MM    MM    MM  MM 1019.2  11.6  16.5    MM   MM   MM    MM
2024 03 01 08 48  80  5.1  7.7    MM    MM    MM  MM 1019.0  11.1  16.6    MM   MM   MM    MM
2024 03 01 08 42  70  7.2  7.7    MM    MM    MM  MM 1019.4  11.5  16.6    MM   MM   MM    MM
2024 03 01 08 36  60  5.7  7.2    MM    MM    MM  MM 1020.2  11.5  16.5    MM   MM   MM    MM
2024 03 01 08 30  70  7.2  8.8    MM    MM    MM  MM 1019.4  11.6  16.6    MM   MM   MM    MM
2024 03 01 08 24  70  7.7  8.8    MM    MM    MM  MM 1019.3  11.4  16.6    MM   MM   MM    MM
2024 03 01 08 18  60  7.7  9.8    MM    MM    MM  MM 1019.4  11.5  16.6    MM   MM   MM    MM
2024 03 01 08 12  60  9.3  9.8    MM    MM    MM  MM 1018.7  11.2  16.6    MM   MM   MM    MM
2024 03 01 08 06  80  6.2  8.2    MM    MM    MM  MM 1018.7  11.0  16.6    MM   MM   MM    MM
2024 03 01 08 00  80  5.1  8.8    MM    MM    MM  MM 1018.7  10.7  16.6    MM   MM -3.7    MM
2024 03 01 07 54  80  6.2  8.8    MM    MM    MM  MM 1019.1  11.0  16.5    MM   MM   MM    MM
2024 03 01 07 48  80  5.7  7.2    MM    MM    MM  MM 1019.9  11.3  16.6    MM   MM   MM    MM
2024 03 01 07 42  80  5.7  6.7    MM    MM    MM  MM 1019.2  10.4  16.6    MM   MM   MM    MM
2024 03 01 07 36  80  4.1  5.7    MM    MM    MM  MM 1019.8  10.3  16.5    MM   MM   MM    MM
2024 03 01 07 30  80  1.5  4.1    MM    MM    MM  MM 1020.7  10.3  16.6    MM   MM   MM    MM
2024 03 01 07 24  80  5.1  6.2    MM    MM    MM  MM 1020.6  10.6  16.6    MM   MM   MM    MM
2024 03 01 07 18  80  4.6  5.7    MM    MM    MM  MM 1020.8  10.6  16.6    MM   MM   MM    MM
2024 03 01 07 12  80  4.1  5.1    MM    MM    MM  MM 1020.6  10.2  16.6    MM   MM   MM    MM
2024 03 01 07 06  80  3.6  7.2    MM    MM    MM  MM 1020.6  10.1  16.6    MM   MM   MM    MM
2024 03 01 07 00  80  2.6  7.2    MM    MM    MM  MM 1020.2  10.3  16.6    MM   MM -3.9    MM
2024 03 01 06 54  80  5.1  9.8    MM    MM    MM  MM 1020.4  10.8  16.6    MM   MM   MM    MM
2024 03 01 06 48  80  6.7 10.3    MM    MM    MM  MM 1020.6  11.1  16.6    MM   MM   MM    MM
2024 03 01 06 42  80  6.7  9.3    MM    MM    MM  MM 1020.6  11.1  16.6    MM   MM   MM    MM
2024 03 01 06 36  80  8.2 10.8    MM    MM    MM  MM 1020.7  11.4  16.6    MM   MM   MM    MM
2024 03 01 06 30  70  9.3  9.8    MM    MM    MM  MM 1020.9  11.6  16.7    MM   MM   MM    MM
2024 03 01 06 24  60  8.2 10.3    MM    MM    MM  MM 1021.4  12.0  16.7    MM   MM   MM    MM
2024 03 01 06 18  70  9.8 10.8    MM    MM    MM  MM 1021.1  11.9  16.7    MM   MM   MM    MM
2024 03 01 06 12  70 10.8 11.8    MM    MM    MM  MM 1020.6  12.0  16.7    MM   MM   MM    MM
2024 03 01 06 06  70  9.3 10.8    MM    MM    MM  MM 1021.1  12.1  16.7    MM   MM   MM    MM
2024 03 01 06 00  70  8.8 10.3    MM    MM    MM  MM 1021.2    MM  16.7    MM   MM -3.8    MM
2024 03 01 05 54  60  7.2  9.3    MM    MM    MM  MM 1022.3    MM  16.6    MM   MM   MM    MM
2024 03 01 05 48  70  8.2 10.3    MM    MM    MM  MM 1022.2  12.2  16.6    MM   MM   MM    MM
2024 03 01 05 42  70  9.8 11.8    MM    MM    MM  MM 1021.5  12.1  16.7    MM   MM   MM    MM
2024 03 01 05 36  70 10.8 12.9    MM    MM    MM  MM 1020.8  12.0  16.7    MM   MM   MM    MM
2024 03 01 05 30  70 10.3 12.4    MM    MM    MM  MM 1020.8  12.1  16.7    MM   MM   MM    MM
2024 03 01 05 24  70  9.8 11.3    MM    MM    MM  MM 1021.1  11.9  16.6    MM   MM   MM    MM
2024 03 01 05 18  70 10.3 11.8    MM    MM    MM  MM 1021.2  11.7  16.7    MM   MM   MM    MM
2024 03 01 05 12  70  9.8 10.8    MM    MM    MM  MM 1021.7  11.6  16.7    MM   MM   MM    MM
2024 03 01 05 06  70  8.2  9.8    MM    MM    MM  MM 1022.3  11.4  16.7    MM   MM   MM    MM
2024 03 01 05 00  80  8.2  9.8    MM    MM    MM  MM 1022.4  11.3  16.7    MM   MM +0.0    MM
2024 03 01 04 54  70  8.2  9.3    MM    MM    MM  MM 1022.7  11.2  16.7    MM   MM   MM    MM
2024 03 01 04 48  70  6.7  7.7    MM    MM    MM  MM 1022.7  11.2  16.7    MM   MM   MM    MM
2024 03 01 04 42  80  4.1  5.7    MM    MM    MM  MM 1022.9  10.8  16.8    MM   MM   MM    MM
2024 03 01 04 36  80  1.0  4.6    MM    MM    MM  MM 1023.4  11.3  16.7    MM   MM   MM    MM
2024 03 01 04 30  80  3.1  4.1    MM    MM    MM  MM 1023.4  11.6  16.7    MM   MM   MM    MM
2024 03 01 04 24  90  1.0  3.1    MM    MM    MM  MM 1023.7  12.0  16.7    MM   MM   MM    MM
2024 03 01 04 18  90  2.1  4.6    MM    MM    MM  MM 1023.6  12.4  16.7    MM   MM   MM    MM
2024 03 01 04 12  80  2.1  4.6    MM    MM    MM  MM 1023.6  12.8  16.8    MM   MM   MM    MM
2024 03 01 04 06  80  2.6  5.1    MM    MM    MM  MM 1023.7  12.9  16.7    MM   MM   MM    MM
2024 03 01 04 00  90  1.0  6.2    MM    MM    MM  MM 1024.1  13.1  16.7    MM   MM -0.3    MM
2024 03 01 03 54  80  4.1  8.8    MM    MM    MM  MM 1024.0  13.2  16.8    MM   MM   MM    MM
2024 03 01 03 48  80  6.7  8.2    MM    MM    MM  MM 1023.9  13.5  16.8    MM   MM   MM    MM
2024 03 01 03 42  80  6.7  8.8    MM    MM    MM  MM 1024.1  13.5  16.8    MM   MM   MM    MM
2024 03 01 03 36  70  7.7  8.8    MM    MM    MM  MM 1024.0  13.3  16.8    MM   MM   MM    MM
2024 03 01 03 30  70  6.7  7.7    MM    MM    MM  MM 1024.3  13.4  16.8    MM   MM   MM    MM
2024 03 01 03 24  70  6.7  7.7    MM    MM    MM  MM 1024.5  13.3  16.8    MM   MM   MM    MM
2024 03 01 03 18  70  7.2  8.2    MM    MM    MM  MM 1024.5  13.3  16.8    MM   MM   MM    MM
2024 03 01 03 12  60  5.7  7.2    MM    MM    MM  MM 1024.8  13.4  16.9    MM   MM   MM    MM
2024 03 01 03 06  60  5.7  6.7    MM    MM    MM  MM 1024.9  13.3  16.9    MM   MM   MM    MM
2024 03 01 03 00  50  6.2  6.7    MM    MM    MM  MM 1025.0  13.3  16.9    MM   MM +2.2    MM
2024 03 01 02 54  50  6.2  7.2    MM    MM    MM  MM 1024.9  13.3  16.9    MM   MM   MM    MM
2024 03 01 02 48  50  5.7  7.2    MM    MM    MM  MM 1024.8  13.2  16.9    MM   MM   MM    MM
2024 03 01 02 42  20  5.7  7.7    MM    MM    MM  MM 1025.3  13.4  16.9    MM   MM   MM    MM
2024 03 01 02 36  20  6.2  8.2    MM    MM    MM  MM 1024.7  13.5  16.9    MM   MM   MM    MM
2024 03 01 02 30  10  7.2  8.8    MM    MM    MM  MM 1024.8  13.6  16.9    MM   MM   MM    MM
2024 03 01 02 24  30  7.7  9.3    MM    MM    MM  MM 1023.7  13.7  16.9    MM   MM   MM    MM
2024 03 01 02 18  60  8.8 13.4    MM    MM    MM  MM 1022.6  13.9  16.9    MM   MM   MM    MM
